V (V)	I (mA)
-3.000313	-0.003091028
-2.900246	-0.002758003
-2.800136	-0.00246068
-2.700023	-0.002194922
-2.599681	-0.001932425
-2.499901	-0.001711481
-2.400051	-0.00150061
-2.300188	-0.001303454
-2.200366	-0.001115862
-2.05597	-0.0009149641
-1.983949	-0.0007921383
-1.898068	-0.0006947722
-1.800026	-0.0005805336
-1.700042	-0.0004784752
-1.599962	-0.0003871425
-1.500157	-0.0003097607
-1.400053	-0.0002453139
-1.300056	-0.0001913382
-1.200162	-0.0001451687
-1.100061	-0.0001070149
-1.000105	-7.733023e-05
-0.9000995	-5.39055e-05
-0.8000383	-3.597571e-05
-0.700144	-2.300936e-05
-0.6000977	-1.415933e-05
-0.5000392	-8.131133e-06
-0.4001656	-4.306452e-06
-0.3000289	-2.048139e-06
-0.200028	-8.701071e-07
-0.1000205	-3.149974e-07
1.857167e-05	-4.572827e-08
0.1000185	2.695608e-07
0.2000192	9.198744e-07
0.3000134	3.747715e-06
0.4001571	1.283561e-05
0.5000396	3.926704e-05
0.6000873	0.0001178349
0.7000914	0.0003181549
0.7985938	0.0007118458
0.9001027	0.001370301
1.000082	0.002267349
1.100013	0.003399358
1.200122	0.004679774
1.300029	0.006110818
1.40005	0.007671706
1.500111	0.009338683
1.599966	0.01107059
1.699994	0.01289934
1.799994	0.01484582
1.899873	0.0168476
2.000055	0.01897912
2.100009	0.02110288
2.200491	0.02333661
2.300169	0.0256552
2.400052	0.0280169
2.499893	0.03053784
2.599716	0.03313774
2.70009	0.0358521
2.800167	0.03868204
2.900264	0.0414687
3.00028	0.04440273
