V (V)	I (mA)
-3.000414	-0.07574927
-2.90033	-0.07004546
-2.800184	-0.06418672
-2.700141	-0.05959058
-2.599748	-0.05503478
-2.499902	-0.05068969
-2.400107	-0.04648183
-2.300227	-0.042438
-2.200448	-0.03880659
-2.099995	-0.03503208
-2.000056	-0.03158793
-1.899923	-0.02831452
-1.80006	-0.02520188
-1.700028	-0.02235014
-1.59997	-0.01966439
-1.500163	-0.01708005
-1.400071	-0.01468048
-1.300064	-0.01248185
-1.200176	-0.0105058
-1.100058	-0.008708258
-1.000139	-0.00712277
-0.9001212	-0.005700126
-0.8000275	-0.0044678
-0.7001415	-0.003416365
-0.6000783	-0.002550318
-0.5000541	-0.00183816
-0.4001532	-0.00127506
-0.2925609	-0.0008086959
-0.2000439	-0.0004938133
-0.1000203	-0.0002265456
-2.633253e-06	1.439041e-06
0.1000204	0.0002466939
0.2000433	0.0005944926
0.300018	0.00115129
0.4001536	0.002068018
0.5000449	0.003580432
0.6001086	0.005960784
0.7001075	0.009522902
0.7999688	0.01437395
0.9000955	0.02057329
1.000109	0.02801972
1.10003	    0.03652946
1.200133	0.04615834
1.300025	0.05689616
1.400037	0.06833974
1.500124	0.0804669
1.59998	    0.09326453
1.699988	0.1075377
1.80002	    0.1219508
1.899913	0.1369052
2.000058	0.1535613
2.100011	0.1686987
2.200498	0.1875297
2.300309	0.2042352
2.400123	0.2218244
2.499919	0.242429
2.59976	    0.2611455
2.700133	0.2791879
2.800196	0.3013059
2.900255	0.3190469
3.000328	0.3421594
