V (V)	I (mA)
-3.000258	-0.3874097
-2.900225	-0.3618517
-2.800113	-0.3373217
-2.700036	-0.3145088
-2.599686	-0.2909999
-2.499856	-0.2696068
-2.400014	-0.2482789
-2.300186	-0.2278997
-2.20038	-0.2080747
-2.099987	-0.1885648
-2.000041	-0.1700371
-1.899905	-0.1523824
-1.80004	-0.1351489
-1.700031	-0.1191926
-1.599959	-0.1036155
-1.500152	-0.0890373
-1.40007	-0.07533866
-1.300065	-0.06275447
-1.200159	-0.05126363
-1.100056	-0.04086398
-1.000115	-0.03169986
-0.9001165	-0.0237301
-0.8000211	-0.01700751
-0.700143	-0.01162656
-0.6000912	-0.007570772
-0.5000595	-0.004709416
-0.4001718	-0.002824285
-0.3000297	-0.001650976
-0.2000455	-0.0009118936
-0.1000211	-0.0003983389
-1.115497e-05	-6.684803e-07
0.1000251	0.0003684897
0.2000216	0.0007842198
0.3000174	0.001279043
0.4001484	0.001869939
0.5000296	0.002582585
0.6000837	0.003420418
0.700103	0.004380663
0.7999657	0.005484053
0.9000992	0.006699703
1.000085	0.008046879
1.100032	0.00952122
1.20012	0.01106958
1.300008	0.01278098
1.400024	0.01463382
1.500096	0.01658125
1.599946	0.01865496
1.699985	0.02081135
1.79999	0.0230742
1.89989	0.02545329
2.000034	0.02804798
2.099983	0.03071498
2.200412	0.03325857
2.300191	0.03608079
2.400025	0.03959196
2.499871	0.04267558
2.599674	0.04602497
2.700028	0.04942219
2.800107	0.05283053
2.900156	0.05645522
3.000248	0.06059817
