V (V)	I (mA)
-3.000349	-0.4739862
-2.900257	-0.4505076
-2.800213	-0.4284857
-2.700077	-0.4066404
-2.599709	-0.3857662
-2.499929	-0.3648631
-2.400145	-0.3444971
-2.300269	-0.324304
-2.20041	-0.3046803
-2.099985	-0.2852691
-2.000045	-0.266388
-1.899902	-0.2478386
-1.800057	-0.2297749
-1.700034	-0.2122098
-1.599964	-0.1950876
-1.50013	-0.178335
-1.400057	-0.1621334
-1.300043	-0.1464679
-1.200148	-0.1313288
-1.100048	-0.1168144
-1.000122	-0.1027179
-0.9001245	-0.08928055
-0.8000382	-0.07643733
-0.7001656	-0.0643197
-0.6000885	-0.05283187
-0.5000647	-0.04207543
-0.4001602	-0.03209646
-0.3000244	-0.02291085
-0.2000449	-0.01457067
-0.1000162	-0.007022956
7.106366e-06	2.751226e-05
0.1000354	0.007409917
0.2000259	0.01603797
0.300046	0.0263522
0.4001454	0.03860396
0.5000678	0.05304916
0.6001023	0.06986371
0.7001135	0.08918111
0.7999799	0.1108657
0.900097	0.1350138
1.000106	0.1611842
1.100052	0.1893237
1.200146	0.2192588
1.300031	0.2506324
1.400043	0.283288
1.500095	0.3172187
1.599981	0.3519424
1.699995	0.3875149
1.800031	0.4238038
1.899896	0.4605757
2.000056	0.4979309
2.099997	0.5358542
2.200577	0.5740445
2.300322	0.6124347
2.4002	0.6507174
2.500006	0.6904553
2.599837	0.7296629
2.700235	0.7702071
2.800288	0.810961
2.900347	0.8532735
3.000413	0.8970989
