V (V)	I (mA)
-3.000329	-0.2580808
-2.900204	-0.2434332
-2.800185	-0.2306112
-2.700092	-0.2182777
-2.599694	-0.2064963
-2.499933	-0.1949005
-2.400089	-0.1835928
-2.300283	-0.1726244
-2.200398	-0.1619176
-2.099991	-0.1514701
-2.000039	-0.1413774
-1.899902	-0.1315419
-1.800044	-0.1222157
-1.700054	-0.1129725
-1.599957	-0.104103
-1.500149	-0.09547854
-1.400079	-0.08710951
-1.300075	-0.07907672
-1.200154	-0.07129139
-1.10009	-0.06378163
-1.000115	-0.05657941
-0.9001117	-0.04960495
-0.8000225	-0.04292385
-0.7001674	-0.03655805
-0.600099	-0.03045405
-0.5000787	-0.02464417
-0.400163	-0.0191376
-0.3000166	-0.01392257
-0.2000408	-0.009047289
-0.1000079	-0.004434701
-8.416522e-06	1.752937e-05
0.1000179	0.004657265
0.2000475	0.009804994
0.300036	0.0157075
0.400156	0.02261551
0.5000668	0.03080009
0.6000789	0.04062536
0.7001331	0.05240964
0.8000057	0.06648901
0.9001323	0.08327195
1.000126	0.1026531
1.100027	0.1246178
1.200117	0.1493787
1.300043	0.1764072
1.400031	0.205537
1.500099	0.2366359
1.599978	0.2698378
1.699999	0.3047512
1.800034	0.3418644
1.899912	0.379958
2.000062	0.4197489
2.099996	0.4618041
2.200606	0.5055043
2.300381	0.5504709
2.400182	0.5969232
2.499985	0.6450611
2.599803	0.694054
2.700216	0.7454419
2.800308	0.7978902
2.900324	0.8513477
3.000506	0.9083404
