V (V)	I (mA)
-3.000273	-0.3584989
-2.90028	-0.3319265
-2.800089	-0.3091561
-2.700012	-0.2870626
-2.599714	-0.2660038
-2.499918	-0.2459227
-2.400043	-0.226703
-2.30022	-0.2080529
-2.200435	-0.1907706
-2.100004	-0.1742728
-2.000038	-0.1581143
-1.899901	-0.1426245
-1.800035	-0.1282213
-1.700039	-0.1148141
-1.599965	-0.1023834
-1.500147	-0.09028832
-1.400084	-0.07911828
-1.300064	-0.06891139
-1.200178	-0.05948044
-1.100067	-0.05077095
-1.000133	-0.04282243
-0.9001145	-0.03575776
-0.8000143	-0.02930912
-0.7001416	-0.0235423
-0.6000816	-0.01848403
-0.5000746	-0.01399428
-0.4001637	-0.01021287
-0.3000466	-0.0069669
-0.2000409	-0.004237104
-0.1000268	-0.00197134
-1.602546e-05	5.397814e-06
0.1000484	0.002062648
0.2000346	0.004679149
0.3000525	0.008275067
0.4001755	0.01327079
0.5000484	0.02043431
0.6000928	0.02990391
0.700105	0.04204299
0.8000045	0.05775312
0.9001001	0.07718278
1.000104	0.09949366
1.100035	0.1258046
1.200144	0.1554952
1.300012	0.1880623
1.400044	0.2236342
1.500118	0.26156
1.599974	0.3014887
1.699986	0.3438148
1.800024	0.3881312
1.899917	0.4345174
2.000046	0.4830824
2.100003	0.5331296
2.200578	0.5858192
2.300425	0.6404569
2.400129	0.6959192
2.5	0.7531925
2.599835	0.8134492
2.7002	0.874937
2.800286	0.9380938
2.90034	0.9981238
3.000312	1.062156
